N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef
12761,944312.000000,738704.000000,0,    0,                                                  ,0,0
12762,928730.948600,855666.938700,0,    0,                                                  ,0,0
12764,929364.553700,855580.650100,0,    0,                                                  ,0,0
12768,935301.625000,853544.750000,0,    0,                                                  ,0,0
12770,935301.625000,853005.125000,0,    0,                                                  ,0,0
12772,943407.375000,853304.937500,0,    0,                                                  ,0,0
12773,945025.000000,732023.000000,0,    0,                                                  ,0,0
12776,946093.312500,852873.250000,0,    0,                                                  ,0,0
12778,946103.500000,853195.312500,0,    0,                                                  ,0,0
12793,962803.000000,828046.000000,0,    0,                                                  ,0,0
12795,904688.000000,921553.000000,0,    0,                                                  ,0,0
12814,931663.812500,947616.000000,0,    0,                                                  ,0,0
12826,932926.810500,946394.254900,0,    0,                                                  ,0,0
12828,932705.271800,946581.843600,0,    0,                                                  ,0,0
12844,946762.000000,891510.562500,0,    0,                                                  ,0,0
12865,952948.000000,900629.000000,0,    0,                                                  ,0,0
12873,948475.000000,882806.000000,0,    0,                                                  ,0,0
12881,950969.000000,882713.000000,0,    0,                                                  ,0,0
12884,917044.812500,735344.500000,0,    0,                                                  ,0,0
12887,950827.000000,916136.000000,0,    0,                                                  ,0,0
12903,955979.000000,913865.000000,0,    0,                                                  ,0,0
12907,955296.000000,913880.000000,0,    0,                                                  ,0,0
12911,956698.000000,913851.000000,0,    0,                                                  ,0,0
12915,953357.000000,913922.000000,0,    0,                                                  ,0,0
12917,897327.000000,854328.000000,0,    0,                                                  ,0,0
12931,952746.491700,913661.297800,0,    0,                                                  ,0,0
12932,949798.882400,912567.474500,0,    0,                                                  ,0,0
12939,948005.000000,914313.000000,0,    0,                                                  ,0,0
12950,926645.132500,850709.732900,0,    0,                                                  ,0,0
12951,947998.000000,913994.000000,0,    0,                                                  ,0,0
12952,926697.346100,850685.161800,0,    0,                                                  ,0,0
12953,959967.000000,806928.000000,0,    0,                                                  ,0,0
12955,951003.093800,913688.268300,0,    0,                                                  ,0,0
12957,960256.000000,806915.000000,0,    0,                                                  ,0,0
12961,933930.000000,798620.000000,0,    0,                                                  ,0,0
12963,915814.000000,913383.000000,0,    0,                                                  ,0,0
12965,946520.000000,798311.000000,0,    0,                                                  ,0,0
12971,950898.559800,913617.645900,0,    0,                                                  ,0,0
12972,950202.687500,889767.750000,0,    0,                                                  ,0,0
12975,947976.000000,913405.000000,0,    0,                                                  ,0,0
12979,949986.041200,912586.185300,0,    0,                                                  ,0,0
13003,939305.562500,913009.250000,0,    0,                                                  ,0,0
13007,949605.752800,912220.426300,0,    0,                                                  ,0,0
13012,926691.875000,772669.562500,0,    0,                                                  ,0,0
13015,939282.625000,913095.625000,0,    0,                                                  ,0,0
13018,928952.833700,855681.731000,0,    0,                                                  ,0,0
13019,917457.000000,912177.000000,0,    0,                                                  ,0,0
13020,929325.107400,853583.684800,0,    0,                                                  ,0,0
13022,929330.038200,853788.312100,0,    0,                                                  ,0,0
13023,949113.504300,911772.692300,0,    0,                                                  ,0,0
13026,939578.761200,913473.613800,0,    0,                                                  ,0,0
13027,925669.000000,911971.000000,0,    0,                                                  ,0,0
13029,934247.000000,771542.000000,0,    0,                                                  ,0,0
13031,947974.000000,911958.000000,0,    0,                                                  ,0,0
13034,939487.062500,913358.687500,0,    0,                                                  ,0,0
13038,930726.250000,857083.125000,0,    0,                                                  ,0,0
13039,939239.000000,912721.250000,0,    0,                                                  ,0,0
13040,930769.825500,857057.418200,0,    0,                                                  ,0,0
13042,939919.500000,913235.000000,0,    0,                                                  ,0,0
13043,939287.937500,912715.500000,0,    0,                                                  ,0,0
13044,931303.187500,947869.750000,0,    0,                                                  ,0,0
